,term,definition
1384,языки народов сССР,"Языки, на которых говорят народы, живущие на территории СССР. В СССР представлено около 130 языков коренных народов страны, живущих в 15 союзных, 20 автономных республиках, 8 автономных областях и 10 автономных округах, и несколько десятков языков, основная масса носителей которых имеет свою государственность за пределами СССР."
1385,языки программирования," класс искусственных языков, предназначенных для обработки информации с помощью вычислительных машин. Тексты на Я. п. являются предписаниями по обработке последовательностей символов (в частности, записей чисел); все тексты можно рассматривать как повелительные (предписывающие). По семантическим критериям выделяются следующие уровни организации текста Я. п.: знаки алфавита, которые не имеют самостоятельного значения; имена (алфавитно-цифровые аналоги слов) — минимальные двусторонние единицы; выражения — комбинации имён, имеющие неповелительное значение; операторы — синтаксические конструкции, отражающие определённое действие (т. е. повелительное значение); программы (семантически и синтаксически завершённая последовательность предписаний). Алфавит Я. п. обычно содержит латинские буквы, десятичные цифры и знаки препинания (разделители), в т. ч. различные виды скобок. Алфавит Я. п., используемых в СССР, часто дополняется русскими буквами. Среди имён выделяются константы, именующие всегда один и тот же объект, например имя «пять» именует число 5, а имя PLUS — операцию сложения, другой вид имён — переменные (идентификаторы), которые могут именовать различные объекты, например имя F может иметь значением число 5, функцию возведения числа в квадрат и т. п. Выражения в Я. п. примерно соответствуют словам или группам слов естественных языков, значение выражения определено, если заданы значения входящих в него имён; например, значением выражения F(X, 5)−7 является число 8, если значением F является операция умножения чисел, а значением X — число 3. Операторы Я. п. соответствуют предложениям естественного языков. Например, оператор присваивания: A←X−3, значение которого — ‘сделать значением переменной A число, равное разности между значением X и числом 3’. Программы Я. п. соответствуют текстам естественных языков. Каждый оператор, входящий в программу, может при её выполнении на ЭВМ выполняться необходимое (заранее неизвестное) число раз."
1386,языковая политика,"Совокупность идеологических принципов и практических мероприятий по решению языковых проблем в социуме, государстве. Особой сложностью отличается Я. п. в многонациональном государстве, так как в этом случае она должна учитывать такие факторы, как многоязычие, своеобразие национального состава и межнациональных отношений, роль отдельных языков и их носителей в общественной жизни. Идеологические принципы и практические мероприятия в области Я. п. взаимозависимы и неразделимы, а поскольку Я. п. является составной частью национальной политики, она в основных чертах зависит от общих принципов последней. Примером демократической реализации Я. п. в многонациональном государстве является ленинская национальная и языковая политика."
1387,языковая ситуация," одно из основных понятий и предмет изучения в социолингвистике. Разнообразные Я. с. описываются посредством различных признаков — количественных, качественных и оценочных (эстимационных), на основе которых можно строить типологию Я. с."
1388,языковая способность," Я. с. есть социальное по сути образование, формирующееся в процессе развития деятельности общения (позиция советской психолингвистики, опирающаяся на многочисленные экспериментальные исследования и марксистско-ленинскую методологию)."
1389,языкового существования школа,См. Японистика.
1390,языковой союз," это группа языков, обнаруживающих существенное сходство в синтаксисе, морфологии, иногда — внешнее сходство в фонетике и обладающих общим фондом культурных слов, но не связанных системой звуковых соответствий и исконной элементарной лексикой. Примером языкового союза является балканский языковой союз."
1391,языкознание, наука о естественном человеческом языке вообще и о всех языках мира как индивидуальных его представителях.
1392,языкознание в россии," начале 17 вв., когда были созданы первые собственно славянские грамматики Л. Зизания (1596) и М. Смотрицкого (1619) — единственные руководства по употреблению русского языка до середины 18 в. В 1731 появилась в рукописи первая грамматика русского языка В. Е. Адодурова, переведённая (1750) на шведский язык М. Грёнингом."
1393,язык-основа,См. Праязык.
1394,якутский язык,"Один из тюркских языков. Распространён в Якутской АССР, частично в Амурской, Магаданской, Сахалинской областях, Таймырском АО и Эвенкийском АО РСФСР. Число говорящих 312,7 тыс. чел. (1979, перепись). Выделяются группы говоров: центральная, вилюйская, северо-западная и таймырская."
1395,японистика,"Комплекс дисциплин, изучающих Японию; лингвистическая японистика занимается изучением японского языка."
1396,японский язык," в австронезийских языках; вероятнее, исконен алтайский слой. Распространён в Японии, частично также в США, Бразилии и других странах. Число говорящих в Японии 121,5 млн. чел. Официальный язык Японии."
1397,японское письмо,"Смешанное идеографически-силлабическое письмо, в котором сочетаются иероглифы [кандзи 漢字] и слоговые знаки (так называемая кана 仮名). Используется для записи текстов на японском языке."
1398,яфетическая теория, имя одного из сыновей Ноя) — см. «Новое учение о языке».
1399,терминологический указатель,"В настоящий указатель, построенный по алфавитному принципу, включены следующие категории терминов:"
1400,указатель языков мира," 248; Дасенеч см. Гелеба»]. Страницы указываются только при основном названии независимо от того, какой из его «синонимов» употреблен в тексте статьи. Разные языки, имеющие совпадающие названия, даются в указателе по принципу омонимов (например, кора1, кора2 и т. д.). При названиях языков указываются только те страницы, где о данном языке имеется существенная информация, полужирным шрифтом выделяется страница, отсылающая к статье о данном языке в основном корпусе Словаря."
1401,аннотированный именной указатель," имена учёных других специальностей, научная деятельность которых сыграла серьёзную роль в развитии языкознания в целом или какой-либо его области."
1402,авторы статей словаря ¤,Not found
1403,тематический список статей ¤,Not found
1404,изменения в названиях,Not found
1405,"скачать книгу целиком (zip 7,5 мб)",Not found
1406,↓ К оглавлению сайта ↓,Not found
1407,абазинский,"То же, что абазинский язык; один из абхазско-адыгских языков, распространённый главным образом в Карачаево-Черкесской АО"
1408,абазинский язык,"Один из абхазско-адыгских языков, распространённый главным образом в Карачаево Черкесской АО"
1409,аббревиатура,"Слово, состоящее из усечённых частей словосочетания"
1410,аббревиация,"Сокращение, изложение слов начальными буквами"
1411,абброморфема,"Морфема, представляющая собой аббревиатуру"
1412,абджад,"Тип фонетического письма, передающий только или преимущественно согласные звуки"
1413,абессив,"Падежная форма, указывающая на лишение, отсутствие чего-либо, на нахождение вне чего-либо"
1414,аблатив,", грам. отложительный падеж в некоторых языках; по значению может соответствовать в русском языке родительному падежу с предлогами «от», «из», «с» или творительному падежу"
1415,аблаут,"Чередование гласных в составе одной морфемы, при котором гласные часто выступают в виде внутренней флексии"
1416,аблятив,"То же, что аблатив; название падежа в некоторых языках, по значению сходного с родительным или с творительным падежами в русском языке"
1417,абляут,"Фонетически не обусловленное чередование гласных в индоевропейских языках, сопровождающееся словоизменением и словообразованием"
1418,абоминация,"Неспециально охарактеризованная риторическая фигура, выражение ненависти или презрения, обычно краткое"
1419,абруптив,"Тип нелёгочных (непульмональных), как правило взрывных согласных звуков, образующихся быстрым движением гортани вверх при закрытой голосовой щели, а затем расслаблении ротовой смычки"
1420,абруптивный,"Связанный, соотносящийся по значению с существительным абруптив"
1421,абрупция,"Оборот речи, заключающийся в недосказанности мысли, обрыве речи и опущении при этом каких-либо слов или конструкций"
1422,абсолютив,"То же, что абсолютный падеж"
1423,абсолютивный,Относящийся к абсолютиву
1424,абсолютное начало слова,"Звук, произносимый первым в каком-либо слове"
1425,абсолютный падеж,"То же, что абсолютив; падежная форма в языках эргативного строя, обозначающая любой предмет высказывания, не производящий направленного действия"
1426,абугида,"Разновидность слоговой письменности, в которой слоги с одинаковым согласным, но разными гласными обозначаются видоизменёнными формами одного базового знака или дополнительными знаками"
1427,аверсия,"Синтаксическая фигура: разновидность апострофы, риторического обращения – перерыв речи с непосредственным обращением к олицетворяемому предмету или заведомо отсутствующему лицу (умершим, павшим героям)"
1428,австронезийский,Относящийся к австронезийским языкам
1429,автоматическое реферирование,"Создание коротких выкладок материалов, аннотаций или дайджестов, т.е. получение важнейших сведений из одного или нескольких документов, и генерация на их основе лаконичных и информационно-насыщенных отчетов"
1430,автонимный,Употребляемый в качестве имени самого себя
1431,авторское мы,"Местоимение мы, употребляющееся в научном и публицистическом стилях речи для обозначения автора (вместо местоимения я)"
1432,автосемантический,Имеющий отдельный самостоятельный смысл
1433,автоэтноним,Самоназвание этноса
1434,агванский,Относящийся к агванскому языку
1435,агванский язык,"Вымерший язык нахско-дагестанской семьи, широко распространённый до X–XII веков в Кавказской Албании"
1436,агглютинативный,Прил. к агглютинация
1437,агглютинативный язык,"Язык, имеющий строй, при котором доминирующим типом словоизменения является агглютинация («приклеивание») различных формантов (суффиксов или префиксов), причём каждый из них несёт только одно значение"
1438,агглютинация," способ образования производных слов и грамматических форм путём последовательного присоединения к неизменяемым корню или основе грамматически однозначных аффиксов, не претерпевающих каких-либо существенных изменений [≈ 2][≠ 2][▲ 2][▼ 2]"
1439,агглютинирующий,Спец. действ. прич. наст. вр. от агглютинировать
1440,агенс,"Типовая семантическая харак­те­ри­сти­ка (роль) одушевлённого участника ситуации, её намеренного инициатора, который контролирует ситуа­цию, непосредственно исполняет соответствующее действие и является «источ­ни­ком энергии» этого действия"
1441,агентив,"Падежная форма, наличествующая в ряде языков мира и маркирующая объект побуждения каузативной конструкции."
1442,агентивно-объектный,"Указывающий на действие агенса, направленное на объект (о подтипе семантического предиката действия, первый актант которого обозначает активного производителя действия, а второй объект действия)"
1443,агентивный,"Связанный, соотносящийся по значению с существительным агенс"
1444,агентивный суффикс,"Суффикс, обозначающий деятеля"
1445,агиоантропоним,Имя святого как объект изучения
1446,агионим," любое имя собственное, связанное со святостью, святынями"
1447,агиотопоним,"Разряд топонимов, где в качестве основы для образования собственного имени географического объекта используются имена святых, теонимы или названия церковных праздников"
1448,агитационная речь,"Речь, выражающая какие-либо партийные идеи, лозунги, имеющая чёткую целеустановку и побуждающая своих адресатов к организованным активным действиям"
1449,агноним,"Лексическая или фразеологическая единица языка, не знакомая большинству носителей языка (специальный термин, неологизм, устаревшее или диалектное слово и т. п.)"
1450,агороним,Название городской площади или рынка
1451,аграмматичный,Не подчиняющийся грамматической норме
1452,агульский язык,Язык агулов
1453,адвербиал,", грам. слово, выражающее обстоятельство места, времени и т. п."
1454,адвербиализация,"Процесс перехода в класс наречий слов, принадлежащих другим частям речи, без изменения их фонемного состава"
1455,адвербиализовывать,Превращать в наречие
1456,адвербиальность,Свойство по значению прилагательного адвербиальный
1457,адвербиальный,Относящийся к наречию
1458,адверсатив,"Слова, выражающие противительные отношения"
1459,адверсативный,"То же, что противительный"
1460,адекватив,Конструкция сравнительной степени прилагательного и существительного в родительном падеже
1461,адессив,", грам. падежная форма распространённая во многих агглютинирующих языках, в том числе в финно-угорских, нило-сахарских и др. и имеющая притяжательную и инструментальную функцию, соответствует родительному падежу"
1462,аджам,Письменность на основе арабского алфавита у некоторых неарабских народов
1463,адианоэта,Неоднозначность высказывания
1464,адидеация,"Влияние одного слова на значение другого, сходного по звучанию; смешение смысла близких по звуковой форме слов"
1465,адинатон,"Фигура речи в форме гиперболы, когда нечто невозможное или очень трудное в осуществлении сопоставляется, с помощью отвлечённого примера и сильного преувеличения, с какой-либо нереальной ситуацией, с чем-то, чего по природе вещей не может быть"
1466,адмиратив,"Глагольное наклонение, выражающее удивление"
1467,адрессивный,Указывающий на почтительное отношение говорящего к собеседнику
1468,адстрат,"Совокупность черт одного языка, которые перешли в другой язык в результате длительных контактов народов, говорящих на этих языках"
1469,адхортатив,"Высказывание, содержащее побуждение к действию, предупреждение об опасности или последствиях, обещание"
1470,адъектив,"То же, что имя прилагательное"
1471,адъективация,Переход слов других частей речи в разряд прилагательных
1472,адъективирование,Переход слов других частей речи в разряд прилагательных
1473,адъективированный,"Перешедший в категорию имён прилагательных, получивший признаки прилагательного; связанный с таким переходом"
1474,адъективировать,Переводить (перевести) в разряд прилагательных
1475,адъективироваться,Переходить в категорию имён прилагательных
1476,адъективное лексическое значение,"Лексическое значение, обозначающее действие или состояние как признак, свойство в их отвлечении от временно́й приуроченности"
1477,адъективный,"Относящийся к прилагательным, свойственный прилагательным; также имеющий признаки прилагательного"
1478,адъюнкт,Аспирант высшего военно-учебного заведения
1479,адъюнктив,"Словосочетание, выполняющее функцию наречия"
1480,азербайджанизм,"Слово или выражение, заимствованное или происходящее из азербайджанского языка, частный случай тюркизма"
1481,азербайджанский,"То же, что азербайджанский язык"
1482,азианизм,"Стилистическое направление в искусстве красноречия, сложившееся в эллинистическую эпоху в некоторых городах Малой Азии"
1483,азианический,", археол. связанный с доиндоевропейским и/или досемитским населением Южной Европы, Малой Азии или Ближнего Востока (устаревший термин в европейской исторической лингвистике и археологии)"
1484,аймарский,"То же, что аймарский язык"
1485,айнский,"То же, что айнский язык"
1486,аканье,Неразличение при произношении безударных гласных «о» и «а»
1487,аккомодация,"Частичное приспособление артикуляции обычно стоящих рядом согласного и гласного, заключающееся в распространении одного звукового признака на находящиеся рядом звуки"
1488,аккузативный,"Связанный, соотносящийся по значению с существительным аккузатив"
1489,аккумуляция,"Увеличение употребительности слова, оборота и т. п. в одном языке под влиянием другого языка, где соответствующее выражение более употребительно, чем в первом"
1490,аколуф,Религ. помощник священнослужителя
1491,акролект,"Вариант языка, возникающий в посткреольском континууме в результате смешения креольского языка и языка лексификатора"
1492,акрофония,"Образование из начальных букв словосочетания аббревиатуры, которая читается не по названиям букв, а как обычное слово"
1493,аксанграв,", полигр. диакритический знак в виде наклонного влево штриха над буквой"
1494,аксантегю,", полигр. диакритический знак в виде наклонного право штриха над буквой"
1495,актант,"Активный, значимый участник ситуации, речевая конструкция, заполняющая семантическую или синтаксическую валентность предиката"
1496,актантная группа,Группа непосредственно подчинённых сказуемому слов и всех слов подчинённых этим словам
1497,активный,"Входящий в число слов, которые говорящий не только понимает, но и употребляет в собственной речи; состоящий из таких слов"
1498,активный залог,"То же, что действительный залог"
1499,активный словарь,"Совокупность языковых единиц, которые знает и употребляет в своей речи носитель языка"
1500,актуализатор,"Грамматическое или лексическое средство выделения предмета из класса однородных; эту роль могут выполнять грамматические категории (рода, числа, падежа, лица вида и др.), артикли и служебные слова"
1501,акусма,Слуховое представление (впечатление) о звуке
1502,акут, знак ударения
1503,акутовый,"Связанный, соотносящийся по значению с существительным акут; удерживающий ударение (об интонации слога)"
1504,акцент,"Выделение фонетическими средствами (усилением голоса, повышением тона и т. п.) слога в составе слова или целого словосочетания; смысловое ударение"
1505,акцентировать,"Поставить (ставить) акцент, ударение (в речи и на письме)"
1506,акцентный,"Связанный, соотносящийся по значению с существительным акцент"
1507,акцентологический,"Связанный, соотносящийся по значению с существительным акцентология"
1508,акцентология,"Раздел языкознания, изучающий природу, особенности и функции ударения, тон и некоторые другие просодические явления"
1509,акцентуация," особая область фонетических (звуковых) средств словоразличения, состоящих в модификации силы или музыкальной высоты голосового тона на протяжении слогового комплекса"
1510,акциональный,Относящийся к какому-либо аспекту действия; деятельностный
1511,албанский язык,"Индоевропейский язык, образующий самостоятельную группу, распространённый на территории Албании, Косова, а также в Италии, Греции"
1512,алгонкиноязычный,Говорящий на одном из алгонкинских языков
1513,алексия,", мед. утрата способности читать и понимать прочитанное в связи с очаговым поражением стыка височной, теменной и затылочной долей коры головного мозга"
1514,алетический,"Характеризующий физическую возможность чего-либо, связанный с категорией возможности"
1515,алиенизм,"Слово заимствованное из другого языка, сигнализирующее о другой культуре"
1516,аллограмма,"Письменный знак (обычно иноязычный), используемый в качестве словесного или фразового выражения"
1517,аллограф,"Графический вариант, конкретная манифестация графемы"
1518,аллолекс,Формальный и лексико-семантический вариант лексемы
1519,алломорф,"Вариант, разновидность морфемы, тождественный по значению, но различающийся своим фонемным составом"
1520,алломорфа,"Вариант, разновидность, данная конкретная манифестация морфемы"
1521,алломорфизм,Система алломорфов в языке
1522,алломорфия,"Свойство, способность морфемы выступать в качестве разных алломорфов"
1523,аллофон,"Вариант фонемы, зависящий от окружающих его звуков"
1524,аллофона,"Вариант фонемы, её конкретная реализация в определённой фонетической позиции"
1525,аллофраза,"Вариант какого-то словосочетания, фразеологизма или предложения"
1526,аллоэмия,"Противопоставление структурной единицы языка её вариантам (например, фонема и её аллофоны)"
1527,аллоэтноним,"Название этноса, данное другими народами"
1528,алтайский,"Относящийся к гипотетической языковой семье, которая включает в себя тюркскую, монгольскую, тунгусо-маньчжурскую и японо-рюкюскую языковые ветви"
1529,алуне,"Язык народа алуне [1], один из малайско-полинезийских языков"
1530,альвеолярный согласный,"Согласный, образуемый сближением или смыканием кончика языка с альвеолами (т. е. к бугорками у корней верхних зубов)"
1531,альтернант,"Вариант, член какого-то чередующегося рада"
1532,альтернация,Последовательная мена гласных или согласных в определённых позициях или в определённых морфемах; чередование
1533,алюторский язык,"Язык алюторцев, один из языков чукотско-корякской ветви чукотско-камчатской языковой семьи"
1534,амбификс,"Аффикс, способный прикрепляться как перед корнем, так и после него"
1535,амфиболия,"Фигура речи, двойственность или двусмысленность, получающаяся от того или иного расположения слов или от употребления их в различных смыслах, смешение понятий"
1536,амхарский,", субстантивир. амхарский язык"""
1537,анаколуф,"Синтаксическая несогласованность членов предложения, являющаяся речевой ошибкой, либо стилистическим приёмом"
1538,анакоэносис,"Синтаксическая фигура: разновидность апострофы, риторического обращения – перерыв речи с непосредственным обращением к олицетворяемому предмету или заведомо отсутствующему лицу (умершим, павшим героям)"
1539,аналитизм,"Качество языкового строя, заключающееся в расчленённом выражении лексического и грамматического значений в пределах таких единиц, как слово, предложение"
1540,аналитический,"Такой, при котором грамматические отношения между словами и предложениями выражаются не формами самих слов, а служебными словами, порядком слов и т. п."
1541,аналитический язык,"Язык, в котором грамматические значения выражаются преимущественно порядком слов или при помощи служебных слов"
1542,анастрофа,"Фигура речи, изменение прямого порядка слов в словосочетании на непрямой без нарушения содержания"
1543,анафор,"Единица высказывания, которая соотносится с предшествующей единицей (антецедентом), заменяя её или указывая на неё"
1544,анафорический,"Указывающий на предшествующее слово, отсылающий к ранее сказанному"
1545,английский,"То же, что английский язык"
1546,англицизм,Заимствование из английского языка в каком-либо другом языке
1547,англо-нормандский язык, XIII веках
1548,андо-экваториальные языки,"Гипотетическая макросемья, объединяющая языковые семьи и изолированные языки Южной Америки"
1549,андо-экваториальный,"Относящийся к андо-экваториальным языкам, связанный с ними"
1550,андроним,"Личное имя (фамилия) женщины, образованное от имени или фамилии её супруга"
1551,андроцентризм,Игнорирование женщин за счёт использования «общего мужского рода» и местоимения «он» для обозначения человека вне зависимости от гендера
1552,анезис,Указание на менее значимые сведения в конце высказывания для создания эффекта ослабления
1553,анемоним,"Собственное название стихийных бедствий, в том числе ураганов, циклонов, тайфунов"
1554,анлаут,Позиция звука в начале слова
1555,анноминация,"Фигура речи, состоящая в комическом или образном сближении слов, близких по морфемному составу или только по звучанию"
1556,антецедент,"Предыдущая единица высказывания (слово, словосочетание или предложение), заменённая местоимением или какой-либо фигурой речи"
1557,антипрозопопея,"Метафора, характеризующая внешний облик и поведение человека, его умственные способности, возраст, национальность и т. д."
1558,антоним,"Слово или выражение, противоположное данному по значению"
1559,антонимичность,"Свойство по значению прилагательного антонимичный; противоположность чему-либо по смыслу, значению"
1560,антонимичный,"Являющийся антонимом, противоположный по смыслу, значению"
1561,антонимия,"Тип семантических отношений лексических единиц, имеющих противо­по­лож­ные значения"
1562,антрополингвистика,"Антропологическая лингвистика,  раздел лингвистики, изучающий эволюцию человеческого мышления на основе её отражения в соответствующей эволюции языка"
1563,антропологическая лингвистика,"Раздел лингвистики, изучающий эволюцию человеческого мышления на основе её отражения в соответствующей эволюции языка"
1564,антропоним,"Единичное имя собственное или совокупность имён собственных, идентифицирующих человека"
1565,антропонимика,"Раздел ономастики, изучающий имена людей, антропонимы"
1566,антропонимный,"Связанный, соотносящийся по значению с существительным антропоним"
1567,антропотопоним,"Топоним (название географического объекта), прозводный от антропонима"
1568,анусвара,"Диакритический знак, обозначающий носовой призвук в конце гласного звука либо просто назализацию гласного в санскрите и ряде индийских языков"
1569,аорист,"Видо-временная форма глагола в индоевропейских языках (греческом, старославянском, древнерусском, современных южнославянских), обозначавшая недлительное действие, полностью отнесённое к прошлому, без указания на его развитие (в противоположность имперфекту) или полноту совершения, предел (в противоположность перфекту)"
1570,аористический вид,Вид действия (называемый также совершённым) с предусмотренным завершением; соответствует употреблению греческого результативного аориста
1571,аористный,"Связанный, соотносящийся по значению с существительным аорист"
1572,апекс,В латыни: диакритический знак для обозначения долготы гласного
1573,апеллятив,Имя нарицательное в противоположность имени собственному
1574,апеллятивация,Переход собственных имён в нарицательные
