,term,definition
988,perfect,"A perfect is a grammaticalization of the current relevance, at the moment of utterance, of an event or state that occurred prior to the moment of utterance."
989,politeness,Politeness is social deixis that expresses a low degree of solidarity between the speaker and the addressee.
990,prenasalization,Prenasalization is the addition of a short nasal onset to a plosive or affricate at the same place of articulation.
991,propositional act,A propositional act is a speech act that a speaker performs when referring or predicating in an utterance.
992,perfect of persistent situation,"A perfect of persistent situation is a grammaticalization of the current relevance of a state or event begun prior to the moment of utterance, which is relevant because of its continuation until the moment of utterance."
993,polysynthetic language,A polysynthetic language is a language in which words tend to consist of several morphemes.
994,preparatory condition,"A preparatory condition is a state of affairs that  must be presupposed by the speaker in employing a particular illocutionary force, and  is a necessary condition for the nondefective employment of that force  including any conditions necessary due to the mode of achievement, but  excluding any limitations regarding the  nature of the propositional content of the illocutionary act (because these relate to its content, not its force), and presuppositions of the speaker's sincerity in performing it."
995,propositional content condition,A propositional content condition is a limitation on the nature of the state of affairs described by the propositional content of an illocutionary act due to the nature of the illocutionary force employed
996,perfect of recent past,"A perfect of recent past is a grammaticalization of the current relevance of a state or event, occurring before the moment of utterance, which is relevant due to its proximity in time to the moment of utterance."
997,portmanteau morph,A portmanteau morph is a single morph that is analyzed as representing two underlying morphemes.
998,preposition,A preposition is an adposition that occurs before its complement.
999,prospective,A prospective is a grammaticalization of the relationship of a present state to a future situation. It indicates that one is in a present state of being about to do something.
1000,perfect of result,"A perfect of result is a grammaticalization of the current relevance of a state or event, occurring before the moment of utterance, which is relevant because of a resulting state at the moment of utterance."
1001,position,A position is an abstract place of one turn relative to another turn to which it is functionally related. The place does not vary with the number or size of any insertion sequences that come between these functionally related turns.
1002,prepositional phrase,A prepositional phrase is an adpositional phrase in which a preposition is the head. The preposition precedes its complement. The phrase is an exocentric construction that functions as an adjectival or adverbial modifier. The complement to the preposition is typically one of the following:  Noun Noun phrase Pronoun
1003,prototype,The prototype of any category is the member or set of members of a category that best represents the category as a whole.
1004,perfective aspect,"Perfective aspect is an aspect that expresses a temporal view of an event or state as a simple whole, apart from the consideration of the internal structure of the time in which it occurs."
1005,possessive noun,A possessive noun is a noun that expresses possession.
1006,prerequest,"A prerequest is a presequence that prefigures a request, possibly by ascertaining the ability of the respondent to satisfy the coming request."
1007,proximal,A proximal is a distinction in place deixis that indicates location close to the speaker or other deictic center.
1008,performative,A performative is a sentence in which the employment of a particular illocutionary force is made explicit by naming the force in the sentence itself.
1009,possessive pronoun,"A possessive pronoun is a pronoun that expresses ownership and relationships like ownership, such as  kinship, and other forms of association."
1010,present tense,"Present tense is an absolute tense that refers to the moment of utterance. It often refers to events or states that do not merely coincide with the moment of utterance, such as those that are  continuous habitual, or lawlike."
1011,proximal-distal dimension,A proximal-distal dimension is a distinction in place deixis that indicates distance from the speaker or other deictic center.
1012,performative verb,A performative verb is a verb that names an illocutionary force. It is used in a performative to perform an illocutionary act having that force.
1013,possibility,"Possibility is a degree of contingency in modality that in  alethic modality connotes logical possibility deontic modality connotes permission, and epistemic modality connotes uncertainty or speculation."
1014,presequence,"Here are two senses of presequence:   A presequence is a sequence that  is used to introduce a conversational action, and often prefigures a particular sort of action and secures the addressee's cooperation.   A presequence is the specific turn that has the function of prefiguring the coming action."
1015,proximate person deixis,Proximate person deixis is a third person deixis that distinguishes a referent that is more important at the present stage of the discourse from a referent that is less important.
1016,perlocutionary act,"A perlocutionary act is a speech act that produces an effect, intended or not, achieved in an addressee by a speaker’s utterance."
1017,post-hodiernal future tense,"Post-hodiernal future tense is a future tense that refers to a time, in relation to the moment ofutterance, after the span that is culturally defined as ""today."""
1018,prespan-end relation,A prespan-end relation is a temporal relation in which an event or state is expressed as marking the termination of a durative event or state.
1019,pseudo-cleft sentence,A pseudo-cleft sentence is a kind of cleft sentence in which the subordinated clause is a relative clause headed by an interrogative pro-form. In English they are of the form:  wh-relative clause + be + X  X can be a constituent of one of many varieties. The so-called 'inverted' pseudo-cleft sentence reverses the order of the two constituents:   X + be + wh-relative clause
1020,perlocutionary failure,Perlocutionary failure is a lack of success in achieving an intended perlocutionary effect.
1021,post-sequence,A post-sequence is a sequence that is subordinate to and follows another sequence. It remedies some unresolved matter relating to the dominant sequence.
1022,presupposition,"A presupposition is background belief, relating to an utterance, that  must be mutually known or assumed by the speaker and addressee for the utterance to be considered appropriate in context generally will remain a necessary assumption whether the utterance is placed in the form of an assertion, denial, or question, and can generally be associated with a specific lexical item or grammatical feature (presupposition trigger) in the utterance."
1023,pun,"A pun is a variety of a usually humorous play on words involving  the multiple meanings of an expression, or two expressions that sound similar."
1024,perlocutionary verb,A perlocutionary verb is a verb that names a perlocutionary act.
1025,postposition,A postposition is an adposition that occurs after its complement.
1026,quality implicature,"A quality implicature is a conversational implicature based on the addressee's assumption as to whether or not the speaker is observing or flouting the conversational maxim of quality. If the speaker is assumed to be observing the maxim, then the addressee makes a standard implicature. If the speaker is assumed to be flouting the maxim, then the addressee makes a more nonstandard type of implicature."
1027,quantity implicature,"A quantity implicature is a conversational implicature based on an addressee's assumption as to whether the speaker is observing or flouting the conversational maxim of quantity. If the speaker is assumed to be observing the maxim, then the addressee makes a standard implicature. If the speaker is assumed to be flouting the maxim, then the addressee makes a more non-standard type of implicature."
1028,question,"Here are two senses of question:  A question is an illocutionary act that has a directive illocutionary point of attempting to get the addressee to supply information. A question is a sentence type that has a form (labeled interrogative) typically used to express an illocutionary act with the directive illocutionary point mentioned above. It may be actually so used (as a direct illocution), or used rhetorically."
1029,quotative evidential,A quotative evidential is an evidential that signals that someone else is the source of the statement made.
1030,quantifier,"A quantifier is a determiner that expresses a referent's definite or indefinite number or amount. A quantifier functions as a  modifier of a noun, or pronoun."
1031,range as a semantic role,"Range is the semantic role of the entity that completes, is a product of, or further specifies an event."
1032,reference clause,"Here are two senses of a reference clause:  A reference clause is a clause with an argument that, in a marking clause elsewhere in the sentence, is signaled as being coreferential or not to the argument of the marking clause. In a language having a switch reference system, a reference clause is a clause with an argument, which is typically the subject."
1033,relative clause,A relative clause is a clause which describes the referent of a head noun or pronoun. It often restricts the reference of the head noun or pronoun.
1034,remote past tense,Remote past tense is a past tense that refers to a time considered more than a few days ago.
1035,range of reference,A range of reference is a collection of all possible entities in the referential realm denoted by a lexical unit.
1036,reference grammar,"A reference grammar is a prose-like description of the major grammatical constructions in a language, illustrated with examples."
1037,relative future tense,"Relative future tense is a relative tense that refers to a time located after a contextually determined temporal reference point, regardless of the latter’s relation to the moment of utterance."
1038,repair,"A repair is an alteration that is suggested or made by a speaker, the addressee, or audience in order to correct or clarify a previous conversational contribution. It may occur at any of several points following the contribution in question, perhaps occurring in accordance with a conventional order of preference."
1039,rank,Rank is the relationship between units that refer to different values of some variable underlying property such as the following:  Degree Grade Relative position Social position Stratum
1040,referent,"A referent is the concrete object or concept that is designated by a word or expression. A referent is an object, action, state, relationship, or attribute in the referential realm."
1041,relative nonfuture tense,"Relative nonfuture tense is a relative tense that refers to a time simultaneous to, or before, a contextually determined temporal reference point, regardless of the latter's relation to the moment of utterance."
1042,repartee discourse,Repartee discourse is a discourse that is used to recount a series of speech exchanges.
1043,rank lexical relation,A rank lexical relation is an association between lexical units which have different relative values based on some shared underlying semantic property.
1044,referent honorific,A referent honorific is an honorific for which both the referent and the target of the expression of relative social status are the same.
1045,relative nonpast tense,"Relative nonpast tense is a relative tense that refers to a time simultaneous to, or after, a contextually determined temporal reference point, regardless of the latter's relation to the moment of utterance."
1046,restatement relation,A restatement relation is an interpropositional relation in which a proposition(s) substantially paraphrases another proposition(s).
1047,ratified participant,"A ratified participant is one who, in a speech event, has the role of      speaker addressee, or intended audience."
1048,referential realm,"The referential realm is anything, real or imagined, that a person may talk about."
1049,relative past tense,Relative past tense is a relative tense that refers to a time located before that of a contextually determined temporal reference point.
1050,restraint removal schema,"A restraint removal schema is a force schema that involves the physical or metaphorical  removal of a barrier to the action of a force, or absence of a barrier that was potentially present."
1051,realis modality,Realis modality is a modality that connotes the factuality of a proposition.
1052,reflexive pronoun,A reflexive pronoun is a pronoun that has coreference with the subject.
1053,relative present tense,Relative present tense is a relative tense that refers to a time that is simultaneous with some contextually determined temporal reference point.
1054,restrictive relative clause,A restrictive relative clause is a relative clause that helps to identify the referent of the word that it modifies.
1055,reason-result relation,A reason-result relation is a causal relation in which the propositions express an event or state that brings about another event or state. The result occurs regardless of human intention or nonintention.
1056,reflexive verb,A reflexive verb is a verb whose agent performs an action that is directed at itself. It characteristically takes a reflexive pronoun as its object.
1057,relative pronoun,"A relative pronoun is a pronoun that  marks a relative clause functions grammatically within the relative clause, and is coreferential to the word modified by the relative clause."
1058,result,A result is a semantic role that refers to that which is produced by an event.     This role is usually encoded as the surface object of a sentence.
1059,receiving time,Receiving time is the time at which an addressee hears or reads a message. This time may be the deictic center for expressions of time deixis.
1060,reformulation,A reformulation is a self-repair by means of a paraphrase of the repairable item.
1061,relative tense,"Relative tense is a tense that refers to a time in relation to a contextually determined temporal reference point, regardless of the latter’s temporal relation to the moment of utterance."
1062,reverential form,A reverential form is an expression of social deixis that encodes very high status.
1063,recent past tense,"Recent past tense is a past tense that refers to a time, culturally and situationally defined, within the span ranging from yesterday to a week or a few months previous."
1064,rejection finalizer,A rejection finalizer is a move that signals the speaker's acceptance of a rejection by another participant.     The rejection may be of an offer that has previously been made to the other participant.
1065,relativizer,A relativizer is a subordinating conjunction that links a relative clause to its head noun. It is distinguishable from a relative pronoun in that it does not have a nominal function within the relative clause.
1066,rhetorical question,"A rhetorical question is an illocutionary act that  has the direct illocutionary force of a question, and  is not generally used with the expectation of an answer but with some different, indirect force, such as  a command a tentative statement, and an evaluation."
1067,reciprocal pronoun,A reciprocal pronoun is a pronoun that expresses a mutual feeling or action among the referents of a plural subject.
1068,relational proposition,"A relational proposition is a proposition that  arises as an implicature between two propositions or groups of propositions that are related by an interpropositional relation expresses a relation arises even where the relation is not signaled in the text, as by a conjunction, and produces coherence in the text."
1069,relator,A relator is a lexical item whose function is to show the relationship between its surrounding constructions.
1070,rhotacized vowel,A rhotacized vowel is a vowel colored with the sound of an r.
1071,reduplication,Reduplication is a morphological process in which a root or stem or part of it is repeated.
1072,relational social deixis,"Relational social deixis is deictic reference to a social relationship between the speaker and an addressee, bystander, or other referent in the extralinguistic context."
1073,relevance implicature,"A relevance implicature is a conversational implicature based on an addressee's assumption as to whether a speaker is observing or flouting the conversational maxim of relation or relevance. If the speaker is assumed to be observing the maxim, then the addressee makes a standard implicature. If the speaker is assumed to be flouting the maxim, then the addressee makes a more nonstandard type of implicature."
1074,rime,A rime is the part of a syllable which consists of its vowel and any consonant sounds that come after it.
1075,reference,"Here are two senses for reference:  Reference is the symbolic relationship that a linguistic expression has with the concrete object or abstraction it represents. Reference is the relationship of one linguistic expression to another, in which one provides the information necessary to interpret the other."
1076,relative adverb,A relative adverb is a pro-adverb that marks a relative clause.
1077,remote future tense,"Remote future is a future tense that refers to a time that is considered relatively distant. It is characteristically after the span of time culturally defined as ""tomorrow."""
1078,root,"A root is the portion of a word that  is common to a set of derived or inflected forms, if any, when all affixes are removed is not further analyzable into meaningful elements, being morphologically simple, and carries the principle portion of meaning of the words in which it functions."
1079,salient information,Salient information is given information that the speaker assumes to be in the addressee's consciousness at the time of the speaker’s utterance.
1080,sequential relation,A sequential relation is a temporal relation in which the event or state of a latter-expressed proposition is communicated to have occurred after the event or state of a prior-expressed proposition.
1081,specificity,"Specificity is a kind of definiteness, expressed by the interpretation of or grammatical marking on a noun or noun phrase, indicating that the speaker presumably knows the identity of the referent(s)."
1082,subtraction,Subtraction is a morphological process of modification that removes one or more segments from a root or stem.
1083,same subject marker,"A same subject marker is a distinction in the verb morphology of a clause that indicates that the subject is identical to the subject of another clause, such as one of the following:  A following clause The final clause in a clause chain The main clause in a sentence"
1084,serial verb construction,"A serial verb construction is a string of verbs or verb phrases within a single clause that  express simultaneous or immediately consecutive actions have a single grammatical subject have no connective markings, and are marked or understood as having the same grammatical categories, such as  aspect modality negativity or positivity, and tense"
1085,speculative mood,Speculative mood is an epistemic mood that signals that the speaker judges from certain facts that the proposition expressed by his or her utterance is possibly true.
1086,success of fit,Success of fit is a correspondence between the state of affairs described by the propositional content of an illocutionary act and the state of affairs in the world.
1087,setting information,"Setting information is a kind of nonevent in discourse that provides locative, temporal and circumstantial information about a sequence of events."
1088,speech act,"A speech act is an act that a speaker performs when making an utterance, including the following:  A general act (illocutionary act) that a speaker performs, analyzable as including:  the uttering of words (utterance acts) making reference and predicating (propositional acts), and a particular intention in making the utterance (illocutionary force)   An act involved in the illocutionary act, including utterance acts and propositional acts The production of a particular effect in the addressee (perlocutionary act)"
1089,suffix,A suffix is an affix that is attached to the end of a root or stem.
1090,scalar property lexical relation,A scalar property lexical relation is an association between sets of lexical units which refers to the relative values for a property of an object or event as determined against a qualitative standard.
1091,silence,Silence is the absence of speech.
1092,standard implicature,A standard implicature is a conversational implicature based on an addressee's assumption that the speaker is being cooperative by directly observing the conversational maxims.
1093,suffixation,Suffixation is a morphological process whereby a bound morpheme is attached to the end of a stem. The kind of affix involved in this process is called a suffix.
1094,scale schema,"A scale schema is an image schema that  involves an increase or decrease of physical or metaphorical amount, and  consists of any of the following:  A closed- or open-ended progression of amount A position in the progression of amount One or more norms of amount A calibration of amount"
1095,similar pair,"A similar pair is two words in which  phonetically similar segments occur in quite similar environments, and no phonetically plausible rationale can be found to show how one of the segments has been modified by its environment."
1096,state of the glottis,"The state of the glottis is the amount of:  vibration in the vocal folds, and closure in the glottis."
1097,summary relation,"A summary relation is a contraction relation in which a proposition(s) repeats, in abbreviated form, the information of a group of propositions previously expressed."
1098,second part,A second part is the second utterance in an adjacency pair.
1099,similarity relation,A similarity relation is an interpropositional relation indicating that the events or states expressed in the propositions have a likeness of function or import.
1100,statement,Here are two senses for statement:  A statement is an illocutionary act that has the assertive illocutionary point of saying that some state of affairs is true. A statement is a sentence having a form that is typically used to express such illocutionary acts (such as an English declarative sentence which has a subject followed by a verb).
1101,summons-answer sequence,"A summons-answer sequence is a pre-sequence that consists of a that turn  seeks attention, and grants it, opening the way for the talk to follow."
1102,second person deixis,Second person deixis is deictic reference to a person or persons identified as addressee.
1103,simile,"A simile is a comparison between two things. It is signaled overtly; in English, a simile is expressed by the words like or as."
1104,stative verb,A stative verb is a verb that expresses a state of affairs or being rather than action. Stative verbs differ from verbs of action not just in meaning but in formal structure and usage.
1105,superessive case,"Superessive case is a case that expresses location on the referent of the noun it marks. It has the meaning of ""on"" or ""upon."""
1106,secondary articulation,A secondary articulation is an additional articulation process that affects vowel or consonant production.
1107,simple sentence,A simple sentence is a sentence containing one main clause and no subordinate clauses.
1108,status,Status is a scale of social standing that is often realized in differing socially deictic linguistic forms.
1109,superior status,Superior status is social deixis that encodes high status.
1110,secondary sense,"A secondary sense is a meaning that is more abstract than a primary sense of a lexeme but still shares some of its semantic components. Because it has a different range of reference, its usage contexts and collocates are different from those of a primary sense."
1111,simulfix,A simulfix is a change or replacement of vowels or consonants (usually vowels) which changes the meaning of a word.
1112,stem,"A stem is the root or roots of a word, together with any derivational affixes, to which inflectional affixes are added."
1113,supplemental information in a definition,"Supplemental information is an optional part of the definition of a lexical unit, containing culturally or logically expected information."
1114,segment,"A segment is any discrete unit or phone, produced by the vocal apparatus, or a representation of such a unit."
1115,simultaneous relation,A simultaneous relation is a temporal relation in which the events or states of proposition(s) are communicated as occurring at the same time.
1116,stem modification,Stem modification is a morphological process whereby an affix occurs simultaneously with a root or stem. The kind of affix involved in this process is called a simulfix.
1117,suppletion,"Suppletion is the replacement of one stem with another, resulting in an allomorph of a morpheme which has no phonological similarity to the other allomorphs."
1118,self-initiated repair,Self-initiated repair is a repair that the speaker of the utterance that needs repair makes without a prompting from another participant.
1119,sincerity condition,"A sincerity condition is the psychological state of the speaker concerning the propositional content of an illocutionary act. The sincere or insincere expression of this state necessarily accompanies all illocutionary acts, except for an act having a declarative illocutionary point, so that an act having  an assertive point commits the speaker to having a state of belief a commissive point commits the speaker to having a state of intention a directive point commits the speaker to having a state of desire, and an expressive point commits the speaker to having an emotional, attitudinal, or sensory state."
1120,still tense,"Still tense is an absolute tense carrying the presupposition that an event or state held before the moment of utterance. In positive declarative clauses, still tense asserts that the event or state holds at the moment of utterance."
1121,suprafix,"A suprafix is a kind of affix in which a suprasegmental is superimposed on one or more syllables of the root or stem, signalling a particular morphosyntactic operation.     This is a morphological process."
1122,self-repair,Self-repair is a repair that is performed by the speaker of the utterance that needs repair.
1123,singular number,Singular number is number that refers to one member of a designated class.
1124,stop,A stop is a sound produced with a complete closure of the vocal tract.
1125,suprasegmental,"A suprasegmental is a vocal effect that extends over more than one sound segment in an utterance, such as pitch, stress, or juncture pattern.     In SIL contexts, suprasegmental is often used for  tone vowel length, and features like nasalization and aspiration."
1126,semantic component,A semantic component is a potentially contrastive part of the meaning of a lexical unit.
1127,singulative,"A singulative is a grammatical form, adjunct, or variant of a word that expresses the individuation of a single referent from a group or mass."
1128,strength of illocutionary point,"Strength of illocutionary point is the strength of assertion of, commitment to bring about, direction to another to bring about, or expression of a psychological state toward the propositional content of an illocutionary act."
1129,switch reference,"Switch reference is a grammatical category with the following features:   It signals the identity or nonidentity of the referent of an argument of one clause, usually its subject, with an argument of another clause, which is likewise usually the subject. Switch reference functions to avoid ambiguity of reference; for example, it may distinguish between two referents that are third person and that, thus, may not be otherwise distinguished on the verb.  It relates clauses, usually adjacent, that may be subordinate or coordinate to one another.  It is expressed  usually by inflectional affixes on the verb sometimes by the same affixes that express subject-verb agreement within the clause, and rarely by a morpheme independent of the verb."
1130,semantic role,A semantic role is the underlying relationship that a participant has with the main verb in a clause.
1131,situational elicitation frame,A situational elicitation frame is a hypothetical situation that is constructed to help you constrain and control what you elicit.
1132,strength of sincerity conditions,Strength of sincerity conditions is the strength of the psychological state that the speaker commits to in employing a particular illocutionary force.
1133,switching pause,A switching pause is silence between turns.
1134,semantics,"Here are two senses for semantics:  Semantics is, generally defined, the study of meaning of linguistic expressions.  Semantics is, more narrowly defined, the study of the meaning of linguistic expressions apart from consideration of the effect that pragmatic factors, such as the following, have on the meaning of language in use:  Features of the context Conventions of language use The goals of the speaker"
1135,situationally evoked entity,A situationally evoked entity is a referent that is given information because of the prominence of the referent in the extralinguistic context.
1136,stress,Stress is an increase in the activity of the vocal apparatus of a speaker.
1137,syllabic consonant,"A syllabic consonant is a phonetic element that normally patterns as a consonant, but may fill a vowel slot in a syllable."
1138,sense,"In LinguaLinks, the word ""sense"" is used in two ways: 1. In discussions about data storage and management,a sense is a structural part of a lexical entry. It contains the relevant semantic, grammatical, and anthropological information for a lexical unit.          Examples:  ""add a sense to the entry"" ""delete the sense""     2. In discussions about semantic analysis, a sense is the meaning of a lexical unit.        Examples:                                                ""define each sense of the lexeme""                                               ""compare lexically related senses"""
1139,social deixis,"Social deixis is reference to the social characteristics of, or distinctions between, the participants or referents in a speech event."
1140,strong epistemic qualification,A strong epistemic qualification is an epistemic qualification that signals the highest degree of certainty.
1141,syllabification,Syllabification is the process in which consonants function on the periphery of a syllable.
1142,sense group,"A sense group is a collection of senses organized according   to lexical category   to conceptual extendedness, or   to semantic similarity."
1143,solidarity,"Solidarity is a scale of perceived like-mindedness or similarity of behavioral disposition between a speaker and addressee deriving from their similar:  backgrounds acquaintance, or personal characteristics, such as sex.  In some languages, solidarity affects the choice of expressions of social deixis."
1144,structural metaphor,"A structural metaphor is a conventional metaphor in which one concept is understood and expressed in terms of another structured, sharply defined concept"
1145,syllable,"A syllable is a unit of sound composed of        a central peak of sonority (usually a vowel), and the consonants that cluster around this central peak."
1146,sense type,"A sense type is a classification of a sense on the basis of its conceptual extendedness. In other words, it is a classification of the primary sense of a lexeme and the degree to which another sense is different from the primary sense. Sense types provided in the lexical database are as follows:  Primary Secondary Figurative"
1147,solutionhood relation,"A solutionhood relation is an interpropositional relation in which a proposition(s) is presented as an answer or remedy for a problem, such as one of the following, communicated in another proposition(s):  A lack of information A desire An intellectual issue A need A calamity A frustration"
1148,subentry in a lexical database,"A subentry is a unit in the lexical database representing a lexeme that is made up of more than one morpheme, and is lexically related to one or more major entries. While related to the major entry(s), the subentry contains its own phonological, semantic, grammatical, and anthropological information. The subentry usually has a meaning that is greater than the sum of its component morphemes."
1149,syllepsis,"A syllepsis is the use of a single word in such a way that it is syntactically related to two or more words elsewhere in the sentence, but has a different meaning in relation to each of the other words."
1150,sensory evidential,A sensory evidential is an evidential signaling that the speaker’s evidence for the truth of his or her statement is derived from the speaker’s own sensory experience.
1151,sonority scale,The sonority scale is a list of phonetic segments showing the relative resonance of phonetic segments in relation to other segments.
1152,subject,"A subject is a grammatical relation that exhibits certain independent syntactic properties, such as the following:  The grammatical characteristics of the agent of typically transitive verbs The grammatical characteristics of the single argument of intransitive verbs A particular case marking or clause position The conditioning of an agreement affix on the verb The capability of being obligatorily or optionally deleted in certain grammatical constructions, such as the following clauses:​  Adverbial Complement Coordinate   The conditioning of same subject markers and different subject markers in switch-reference systems The capability of coreference with reflexive pronouns  The identification of the subject relation may be further confirmed by finding significant overlap with similar subject relations previously established in other languages. This may be done by analyzing correspondence between translation equivalents."
1153,symbolic usage,"Symbolic usage is the use of a deictic expression in such a way that its interpretation depends only on general knowledge of the extralinguistic situation, rather than on physical (visual, and so forth) monitoring of it."
1154,sentence,A sentence is a grammatical unit that is composed of one or more clauses.
1155,source as a participant role,"Source is the participant role of the referent from whom a message ultimately comes, especially in the case in which the referent is distinct from the speaker."
1156,subject complement,A subject complement is a complement that is used to predicate a description of the subject of a clause.
1157,synecdoche,A synecdoche is a figure of speech in which the one of the following (or its reverse) is expressed:  A part stands for a whole An individual stands for a class A material stands for a thing
1158,sentence adverb,A sentence adverb is an adverb that modifies a whole sentence.
1159,source as a semantic role,"Source is the semantic role of the following referents:  The place of origin (with verbs of motion, locomotion, and propulsion) The entity from which a physical sensation emanates (with verbs of sensation, attention, and speech) The original owner in a transfer (with verbs of acquisition, transfer, and grab)"
1160,subjunctive mood,"Subjunctive mood is a mood that typically signals irrealis meanings, such as:  potentiality uncertainty prediction obligation, and desire  It most typically occurs in a subordinate clause, but may occur outside of one."
1161,synonym lexical relation,A synonym lexical relation is a relationship between two or more lexical units which have identical core semantic components and which differ only with respect to their supplemental or peripheral components.
1162,sentence elicitation frame,A sentence elicitation frame is a syntactic construction that has a blank left in it for eliciting or testing words.
1163,source domain,A source domain is a concept that is metaphorically used to provide the means of understanding another concept.
1164,subordinate clause,"A subordinate clause is a clause that is embedded as a constituent of a matrix sentence and that functions like a noun, adjective, or adverb in the resultant complex sentence"
1165,syntactic category,"A syntactic category is a set of words and/or phrases in a language which share a significant number of common characteristics. The classification is based on similar structure and sameness of distribution (the structural relationships between these elements and other items in a larger grammatical structure), and not on meaning. In generative grammar, a syntactic category is symbolized by a node label in a constituent structure tree."
1166,sentential complementation,Sentential complementation is a kind of sentence in which one of the arguments of a verb is a clause. That clausal argument is called a complement clause.
1167,speaker,A speaker is the utterer of a message.
1168,subordinating conjunction,A subordinating conjunction is a conjunction that links constructions by making one of them a constituent of another. The subordinating conjunction typically marks the incorporated constituent.
1169,syntactic function,A syntactic function is the grammatical relationship of one constituent to another within a syntactic construction.
1170,separable affix,A separable affix is an affix that can be detached from its stem and located elsewhere in a construction.
1171,specialized figurative text,"A specialized figurative text is a text belonging to one of several creative genres that makes extensive use of stylized, poetic, and figurative language."
1172,substance metaphor,"A substance metaphor is an ontological metaphor in which an abstraction, such as an event, activity, emotion, or idea, is represented as material."
1173,syntagmatic lexical relation,"A syntagmatic lexical relation is a culturally determined pattern of association between pairs of lexical units (A1-B1, A2-B2, A3-B3…) where the   two members of each pair (A1 and B1)  have compatible semantic components are in a fixed syntactic and semantic relationship to each other, and are typically associated with each other, and    corresponding members of each pair (A1, A2, A3…)  belong to the same lexical category fill the same syntactic position in a syntactic construction, and have the same semantic function.       Structure      Syntagmatic lexical relations are structured in sets of pairs."
1174,sequence,A sequence is a unit of conversation that consists of two or more adjacent and functionally related turns.
1175,specification relation,A specification relation is an elaboration relation in which a proposition provides more information about another proposition by restating it more narrowly.
1176,substantive,A substantive is a broad classification of words that includes nouns and nominals.
1177,tag question,"A tag question is a constituent that is added after a statement in order to request confirmation or disconfirmation of the statement from the addressee. Often it expresses the bias of the speaker toward one answer.     A tag question often includes a  be verb predicate meaning ‘true’, and negative."
1178,text genre,A text genre is a type of written or spoken discourse.
1179,token-reflexive deixis,Token-reflexive deixis is discourse deixis in which the deictic expression refers to the expression or speech act in which it occurs.
1180,transverse,A transverse is an expression of place deixis that indicates movement across the line of sight of the speaker.
1181,tag statement,A tag statement is an elliptical statement that follows and echoes a main clause statement.
1182,textually evoked entity,A textually evoked entity is a referent that is given information because it has been previously included in the text.
1183,tone,A tone is a pitch element or register added to a syllable to convey grammatical or lexical information.
1184,trial number,A trial number is a number that refers to three members of the designated class.
1185,target,"A target is the ultimate intended recipient of a speaker's message, especially when distinct from the addressee."
1186,theme,"A theme is the initial constituent of a sentence, viewed in relation to a more highly communicative theme or focus elsewhere in the sentence."
1187,topic,"A topic is a noun phrase that expresses what a sentence is about, and to which the rest of the sentence is related as a comment."
1188,trope,A trope is the figurative use of an expression.
1189,target domain,A target domain is a semantic domain that is structured and understood metaphorically in terms of another domain.
1190,thesaurus category,A thesaurus category is an etic semantic category.
1191,transcription,Transcription is the process of representing oral text in a written format.
1192,try-marker,A try-marker is a device that is used to indicate a test of the addressee's recognition of a referent. The device is followed by a hesitation pause in expectation of a sign from the addressee as to whether the referent is known to the addressee.
1193,temporal relation,A temporal relation is an interpropositional relation that communicates the simultaneity or ordering in time of events or states.
1194,third person deixis,Third person deixis is deictic reference to a referent(s) not identified as the speaker or addressee.
1195,transitive verb,A transitive verb is a verb that takes a direct object.
1196,turn,"A turn is a time during which a single participant speaks, within a typical, orderly arrangement in which participants speak with minimal overlap and gap between them."
1197,tense,"Tense is a grammatical category, typically marked on the verb, that deictically refers to the time of the event or state denoted by the verb in relation to some other temporal reference point."
1198,third turn repair,A third turn repair is a self-repair in a third conversational turn. It is preceded by an initial turn in which the repairable item occurs and another turn in which the addressee or audience prompts for repair or produces an inadequate response.
1199,transitivity,Transitivity is the number of objects a verb requires or takes in a given instance.
1200,turn location,A turn location is the actual place of a turn in a series. It is represented by a number obtained by counting from the initial turn of the series.
1201,time as a semantic role,Time is the semantic role of the temporal placement of an event.
1202,translational equivalence,Translational equivalence is the similarity between a word (or expression) in one language and its translation in another. This similarity results from overlapping ranges of reference. A translation equivalent is a corresponding word or expression in another language.
1203,twin-pan balance schema,A twin-pan balance schema is a balance schema that involves physical or metaphorical countervailing forces acting on either side of a fulcrum.
1204,text,A text is a sequence of paragraphs that represents an extended unit of speech.
1205,time deixis,"Time deixis is reference to time relative to a temporal reference point. Typically, this point is the moment of utterance."
1206,translative case,"Translative case is a case indicating that the referent of the noun, or the quality of the adjective, that it marks is the result of a process of change."
1207,ultimate constituent,An ultimate constituent is one of the grammatically irreducible units that constitutes a construction.
1208,unbounded deixis,Unbounded deixis is a distinction in place deixis that indicates the lack of a defined border.
1209,unratified participant,"An unratified participant is a person present at, but not a recognized participant of, a conversation or other speech event."
1210,usage type,A usage type is a classification for lexical units on the basis of sociolinguistic and historical factors.
